"Col1","Col2","Col3","Col4","Col5","Col6","Col7","Col8","Col9","Col10","Col11","Col12"
"1","58,000","～","63,000","5,759.4","2,879.7","6,699.0","3,349.5","133.4","66.7","",""
"2","68,000","63,000","～","73,000","6,752.4","3,376.2","7,854.0","3,927.0","156.4","78.2",""
"3","78,000","73,000","～","83,000","7,745.4","3,872.7","9,009.0","4,504.5","179.4","89.7",""
"4(1)","88,000","83,000","～","93,000","8,738.4","4,369.2","10,164.0","5,082.0","202.4","101.2","16,104.00"
"5(2)","98,000","93,000","～","101,000","9,731.4","4,865.7","11,319.0","5,659.5","225.4","112.7","17,934.00"
"6(3)","104,000","101,000","～","107,000","10,327.2","5,163.6","12,012.0","6,006.0","239.2","119.6","19,032.00"
"7(4)","110,000","107,000","～","114,000","10,923.0","5,461.5","12,705.0","6,352.5","253.0","126.5","20,130.00"
"8(5)","118,000","114,000","～","122,000","11,717.4","5,858.7","13,629.0","6,814.5","271.4","135.7","21,594.00"
"9(6)","126,000","122,000","～","130,000","12,511.8","6,255.9","14,553.0","7,276.5","289.8","144.9","23,058.00"
"10(7)","134,000","130,000","～","138,000","13,306.2","6,653.1","15,477.0","7,738.5","308.2","154.1","24,522.00"
"11(8)","142,000","138,000","～","146,000","14,100.6","7,050.3","16,401.0","8,200.5","326.6","163.3","25,986.00"
"12(9)","150,000","146,000","～","155,000","14,895.0","7,447.5","17,325.0","8,662.5","345.0","172.5","27,450.00"
"13(10)","160,000","155,000","～","165,000","15,888.0","7,944.0","18,480.0","9,240.0","368.0","184.0","29,280.00"
"14(11)","170,000","165,000","～","175,000","16,881.0","8,440.5","19,635.0","9,817.5","391.0","195.5","31,110.00"
"15(12)","180,000","175,000","～","185,000","17,874.0","8,937.0","20,790.0","10,395.0","414.0","207.0","32,940.00"
"16(13)","190,000","185,000","～","195,000","18,867.0","9,433.5","21,945.0","10,972.5","437.0","218.5","34,770.00"
"17(14)","200,000","195,000","～","210,000","19,860.0","9,930.0","23,100.0","11,550.0","460.0","230.0","36,600.00"
"18(15)","220,000","210,000","～","230,000","21,846.0","10,923.0","25,410.0","12,705.0","506.0","253.0","40,260.00"
"19(16)","240,000","230,000","～","250,000","23,832.0","11,916.0","27,720.0","13,860.0","552.0","276.0","43,920.00"
"20(17)","260,000","250,000","～","270,000","25,818.0","12,909.0","30,030.0","15,015.0","598.0","299.0","47,580.00"
"21(18)","280,000","270,000","～","290,000","27,804.0","13,902.0","32,340.0","16,170.0","644.0","322.0","51,240.00"
"22(19)","300,000","290,000","～","310,000","29,790.0","14,895.0","34,650.0","17,325.0","690.0","345.0","54,900.00"
"23(20)","320,000","310,000","～","330,000","31,776.0","15,888.0","36,960.0","18,480.0","736.0","368.0","58,560.00"
"24(21)","340,000","330,000","～","350,000","33,762.0","16,881.0","39,270.0","19,635.0","782.0","391.0","62,220.00"
"25(22)","360,000","350,000","～","370,000","35,748.0","17,874.0","41,580.0","20,790.0","828.0","414.0","65,880.00"
"26(23)","380,000","370,000","～","395,000","37,734.0","18,867.0","43,890.0","21,945.0","874.0","437.0","69,540.00"
"27(24)","410,000","395,000","～","425,000","40,713.0","20,356.5","47,355.0","23,677.5","943.0","471.5","75,030.00"
"28(25)","440,000","425,000","～","455,000","43,692.0","21,846.0","50,820.0","25,410.0","1,012.0","506.0","80,520.00"
"29(26)","470,000","455,000","～","485,000","46,671.0","23,335.5","54,285.0","27,142.5","1,081.0","540.5","86,010.00"
"30(27)","500,000","485,000","～","515,000","49,650.0","24,825.0","57,750.0","28,875.0","1,150.0","575.0","91,500.00"
